sections,schools,distance
418495946,3502691768,1912.712
1487935025,3502691768,1262.6904
1936301455,3502691768,1687.1439999999996
7117279899,3502691768,764.112
3794235136,3502691768,1643.8007999999998
5483069365,3502691768,418.1992
7760745349,3502691768,2831.7136
6229421959,3502691768,1060.5096
4366529976,1142499355,3494.8296000000005
418495946,1142499355,2188.0864
1487935025,1142499355,1797.8704000000002
1936301455,1142499355,2424.5183999999995
7117279899,1142499355,1501.4863999999998
3794235136,1142499355,2381.1752
5483069365,1142499355,1064.2376
7760745349,1142499355,3124.1552
6229421959,1142499355,1797.884
418495946,418598119,2811.4544
1487935025,418598119,1067.8448
1936301455,418598119,1851.8952
7117279899,418598119,1445.8543999999995
3794235136,418598119,1713.7304
5483069365,418598119,971.3711999999998
7760745349,418598119,2526.9224000000004
6229421959,418598119,1377.5479999999998
418495946,8842463971,2651.2712
1487935025,8842463971,788.4280000000001
1936301455,8842463971,1612.2928000000002
7117279899,8842463971,1285.6711999999998
3794235136,8842463971,1434.3136
5483069365,8842463971,1114.7959999999998
7760745349,8842463971,2329.4216
6229421959,8842463971,1068.476
418495946,1459631477,2623.8392000000003
1487935025,1459631477,759.6072
1936301455,1459631477,1584.8608
7117279899,1459631477,1258.2392
3794235136,1459631477,1405.4928
5483069365,1459631477,1137.1351999999997
7760745349,1459631477,2300.6008
6229421959,1459631477,1039.6552
418495946,8772875626,2098.6672
1487935025,8772875626,1806.6672000000003
1936301455,8772875626,2231.1208
7117279899,8772875626,1308.0888000000002
3794235136,8772875626,2187.7776000000003
5483069365,8772875626,803.5808
7760745349,8772875626,3359.2504
6229421959,8772875626,1604.4864000000002
418495946,7913379446,1860.1392
1487935025,7913379446,1672.1176
1936301455,7913379446,2096.5711999999994
7117279899,7913379446,1173.5392
3794235136,7913379446,2053.228
5483069365,7913379446,999.5576
7760745349,7913379446,3241.1408
6229421959,7913379446,1469.9368
418495946,7886818694,1737.02
1487935025,7886818694,1769.7624000000003
1936301455,7886818694,2194.2159999999994
7117279899,7886818694,1271.1840000000002
3794235136,7886818694,2150.8728
5483069365,7886818694,1097.2024
7760745349,7886818694,3338.7856
6229421959,7886818694,1567.5816000000002
418495946,1141846820,1813.8768
1487935025,1141846820,1625.8552000000002
1936301455,1141846820,2050.3088
7117279899,1141846820,1127.2768
3794235136,1141846820,2006.9656
5483069365,1141846820,953.2952
7760745349,1141846820,3194.8784
6229421959,1141846820,1423.6744
4366529976,3642080007,3558.851200000001
418495946,3642080007,2265.6888
1487935025,3642080007,1674.0768000000007
1936301455,3642080007,2461.4064000000003
7117279899,3642080007,1579.0888
3794235136,3642080007,2319.9624000000003
5483069365,3642080007,875.1096
7760745349,3642080007,3040.7032
6229421959,3642080007,1875.4864
418495946,767470028,2841.0048
1936301455,767470028,1834.2216
7117279899,767470028,1475.4048
3794235136,767470028,709.464
5483069365,767470028,1354.3008
7760745349,767470028,1911.0304000000008
418495946,3762485521,2547.8632
1487935025,3762485521,1680.8416000000002
1936301455,3762485521,2105.2952
7117279899,3762485521,237.2632
3794235136,3762485521,2061.952
5483069365,3762485521,1061.1592
